Sepal_Length,Species
0.81,match
0.89,match
0.85,match
0.86,match
0.8,match
0.89,match
0.49,match
0.89,match
0.89,match
0.89,match
0.47,match
0.82,match
0.89,match
0.84,match
0.8,match
0.89,match
0.89,match
0.9,match
0.83,match
0.89,match
0.89,match
0.89,match
0.89,match
0.81,match
0.89,match
0.89,match
0.89,match
0.85,match
0.87,match
0.89,match
0.87,match
0.9,match
0.86,match
0.89,match
0.87,match
0.9,match
0.87,match
0.85,match
0.84,match
0.89,match
0.89,match
0.89,match
0.9,match
0.89,match
0.84,match
0.9,match
0.9,match
0.89,match
0.89,match
0.89,match
0.89,match
0.9,match
0.89,match
0.89,match
0.89,match
0.89,match
0.47,match
0.9,match
0.89,match
0.57,match
0.89,match
0.9,match
0.86,match
0.9,match
0.89,match
0.86,match
0.65,match
0.82,match
0.89,match
0.89,match
0.89,match
0.89,match
0.57,match
0.84,match
0.84,match
0.57,match
0.9,match
0.65,match
0.89,match
0.85,match
0.84,match
0.89,match
0.9,match
0.89,match
0.89,match
0.89,match
0.84,match
0.89,match
0.87,match
0.89,match
0.9,match
0.9,match
0.89,match
0.89,match
0.85,match
0.89,match
0.86,match
0.89,match
0.89,match
0.89,match
0.89,match
0.89,match
0.87,match
0.9,match
0.89,match
0.89,match
0.89,match
0.9,match
0.9,match
0.89,match
0.89,match
0.9,match
0.89,match
0.87,match
0.89,match
0.85,match
0.89,match
0.89,match
0.49,match
0.9,match
0.82,match
0.87,match
0.84,match
0.89,match
0.75,match
0.89,match
0.86,match
0.89,match
0.86,match
0.84,match
0.86,match
0.45,match
0.9,match
0.82,match
0.53,match
0.42,match
0.89,match
0.89,match
0.84,match
0.89,match
0.8,match
0.89,match
0.89,match
0.89,match
0.9,match
0.89,match
0.84,match
0.56,match
0.84,match
0.9,match
0.9,match
0.89,match
0.89,match
0.89,match
0.9,match
0.89,match
0.89,match
0.89,match
0.89,match
0.84,match
0.89,match
0.89,match
0.85,match
0.84,match
